title,longitude,latitude,temporarilyClosed,totalScore,reviewsCount,categoryName,Dine_in,Outdoor_Seating
Best Pizza,-73.9629223,40.7579559,FALSE,3.9,,Pizza restaurant,TRUE,
Souvlaki GR Kouzina,-73.9680576,40.7572778,FALSE,4.6,,Fast food restaurant,TRUE,
Hillstone,-73.9692211,40.7582871,FALSE,4.6,,American restaurant,TRUE,
The Lobster Club,-73.9719473,40.7585383,TRUE,4.4,,Japanese restaurant,TRUE,
sweetgreen,-73.9727699,40.7605465,FALSE,4.2,,Health food restaurant,TRUE,
Nerai,-73.9730857,40.7602436,FALSE,4.6,,Greek restaurant,TRUE,TRUE
Palette At BG,-73.9739928,40.7636243,TRUE,4.3,,Restaurant,TRUE,
The Little Beet,-73.974309,40.7577861,FALSE,4.4,,Restaurant,TRUE,
Davio's Northern Italian Steakhouse,-73.9746387,40.7530076,TRUE,4.4,,Steak house,TRUE,TRUE
Brasserie 8 1/2,-73.975023,40.7637696,TRUE,4.3,,French restaurant,TRUE,
Valbella Midtown,-73.9752808,40.7599767,FALSE,4.4,,Italian restaurant,TRUE,
Sarabeth's,-73.9757026,40.7651362,FALSE,4.1,,American restaurant,TRUE,TRUE
Red Peony,-73.9759156,40.7627581,FALSE,4.6,,Shanghainese restaurant,TRUE,
Certé,-73.9761684,40.7619634,FALSE,4.5,,Caterer,TRUE,
Nobu,-73.9762452,40.763705,FALSE,4.4,,Restaurant,TRUE,
Il Gattopardo,-73.9763707,40.761674,FALSE,4.5,,Southern Italian restaurant,TRUE,TRUE
Osteria del Bianco,-73.9766439,40.7572241,FALSE,4.9,,Restaurant,TRUE,
sweetgreen,-73.9766583,40.754647,FALSE,4.2,,Health food restaurant,TRUE,
Potbelly Sandwich Shop,-73.9767235,40.7631008,FALSE,4.4,,Sandwich shop,TRUE,
The Modern,-73.976753,40.761081,TRUE,4.6,,New American restaurant,TRUE,
Hatsuhana Sushi Restaurant,-73.9769152,40.757016,FALSE,4.5,,Sushi restaurant,TRUE,
Maggie's Place,-73.9771145,40.7562972,TRUE,4.2,,Restaurant,TRUE,
Menkui-Tei,-73.9771711,40.7633128,FALSE,4.3,,Japanese restaurant,TRUE,
Ammos Estiatorio,-73.9772283,40.7543508,FALSE,4.1,,Mediterranean restaurant,TRUE,
Agern,-73.9772353,40.7527277,TRUE,4.5,,Restaurant,TRUE,
Bice Cucina,-73.9773669,40.7625152,FALSE,4.4,,Italian restaurant,TRUE,
21 Club,-73.9774216,40.7605396,TRUE,4.4,,American restaurant,TRUE,
TGI Fridays,-73.9780437,40.7577252,FALSE,3,,Restaurant,TRUE,
Southgate,-73.9780606,40.7662604,TRUE,4.1,,American restaurant,TRUE,
Indian Accent,-73.9788444,40.7642889,FALSE,4.5,,Indian restaurant,TRUE,
sweetgreen,-73.979061,40.759003,FALSE,2,,Health food restaurant,TRUE,
Casa Barilla,-73.9791037,40.7608867,FALSE,4.2,,Italian restaurant,TRUE,
Quality Bistro,-73.979167,40.7632028,FALSE,4.6,,Restaurant,TRUE,TRUE
Milos Cafe,-73.9792004,40.7647105,FALSE,4.3,,Cafe,TRUE,
Black Tap,-73.9797627,40.7635483,TRUE,4.4,,American restaurant,TRUE,
9Ten,-73.9799062,40.7660326,FALSE,4.4,,American restaurant,TRUE,
Souvlaki GR,-73.9801477,40.7645929,FALSE,4.4,,Greek restaurant,TRUE,
Mastro's Steakhouse,-73.9801635,40.7611039,FALSE,4.6,,Fine dining restaurant,TRUE,
Antalia NYC Restaurant/Caterer,-73.980329,40.7559694,FALSE,4.2,,Turkish restaurant,TRUE,
Ocean Prime,-73.9805565,40.7617438,FALSE,4.6,,Seafood restaurant,TRUE,
CAVA,-73.9805624,40.7515661,FALSE,4.6,,Mediterranean restaurant,TRUE,
Zuma,-73.9807471,40.7504559,FALSE,4.5,,Japanese restaurant,TRUE,
Subway,-73.9808247,40.7566784,FALSE,3,,Sandwich shop,TRUE,
Balade Your Way,-73.9808681,40.7523419,FALSE,4.6,,Mediterranean restaurant,TRUE,
Faces and Names,-73.9809248,40.7635888,FALSE,4.3,,Lounge,TRUE,
Tisserie,-73.9810736,40.7644663,FALSE,4.4,,Bakery,TRUE,
The Capital Grille,-73.9812268,40.7607952,FALSE,4.5,,Fine dining restaurant,TRUE,
Broadway Bar,-73.9812435,40.7662427,FALSE,4.5,,Tapas restaurant,TRUE,
Shoe Bar,-73.9812435,40.7662427,FALSE,4.5,,Tapas restaurant,TRUE,
The Morgan Dining Room,-73.9815265,40.7492094,FALSE,4.5,,American restaurant,TRUE,
Norikoh,-73.9815975,40.7511429,TRUE,4.2,,Asian fusion restaurant,TRUE,
Sen Sakana,-73.981642,40.7551651,FALSE,4.5,,Japanese restaurant,TRUE,
Le Bernardin,-73.981864,40.761538,FALSE,4.7,,Seafood restaurant,TRUE,
PHD Terrace at Dream Midtown,-73.9819377,40.764429,FALSE,4,,Lounge,TRUE,TRUE
Serafina Broadway,-73.9819469,40.7644023,FALSE,4.1,,Italian restaurant,TRUE,TRUE
Robert,-73.9819871,40.767438,FALSE,4.5,,New American restaurant,TRUE,
Del Frisco's Double Eagle Steakhouse,-73.98222,40.7594099,FALSE,4.6,,Steak house,TRUE,
sweetgreen,-73.9822359,40.7463073,FALSE,2.7,,Health food restaurant,TRUE,
Oceana,-73.9823074,40.7597641,FALSE,4.5,,Seafood restaurant,TRUE,
Gabriel Kreuther,-73.9824486,40.7545445,FALSE,4.6,,Restaurant,TRUE,
Applejack Diner,-73.9824801,40.7646749,FALSE,3.9,,Diner,TRUE,
The Little Beet,-73.9824804,40.7608703,FALSE,4.3,,Restaurant,TRUE,
STK Steakhouse Midtown NYC,-73.9828494,40.7546664,FALSE,4.2,,Steak house,TRUE,TRUE
Bryant Park Grill,-73.982957,40.7531999,FALSE,4.3,,American restaurant,TRUE,TRUE
Pasta by Hudson,-73.98298,40.7669606,TRUE,4.2,,Italian restaurant,TRUE,
Joe G,-73.983001,40.765643,FALSE,4.5,,Italian restaurant,TRUE,
The Three Monkeys,-73.9830808,40.7641499,FALSE,4.3,,Beer hall,TRUE,
sweetgreen,-73.9831017,40.7546399,FALSE,4,,Health food restaurant,TRUE,
Checkers,-73.9831138,40.7310058,FALSE,3.9,,Fast food restaurant,TRUE,
Empire Steak House,-73.9831208,40.7644256,FALSE,4.2,,Steak house,TRUE,TRUE
Yakitori Totto,-73.9831789,40.7652865,FALSE,4.3,,Japanese restaurant,TRUE,
Iguana New York,-73.9832269,40.7642491,FALSE,4,,Tex-Mex restaurant,TRUE,
Ichiran Times Square,-73.9833054,40.7601361,TRUE,4.6,,Ramen restaurant,TRUE,
Nocello,-73.9833348,40.7653845,FALSE,4.6,,Northern Italian restaurant,TRUE,
Ellen's Stardust Diner,-73.9834356,40.7618723,FALSE,4.4,,Diner,TRUE,
Royal 35 Steakhouse,-73.9835037,40.7489998,FALSE,4.7,,Steak house,TRUE,
Hanoi House,-73.9835497,40.7270085,FALSE,4.6,,Vietnamese restaurant,TRUE,
Connolly's Pub & Restaurant,-73.9835798,40.7573681,FALSE,4.4,,Irish restaurant,TRUE,
S'MAC East Village,-73.983724,40.730212,FALSE,4.4,,American restaurant,TRUE,
Dunkin',-73.9837644,40.7595225,FALSE,4,,Coffee shop,TRUE,
Koi New York,-73.9837762,40.7528962,FALSE,4.4,,Sushi restaurant,TRUE,
Ai Fiori,-73.9837835,40.7500752,FALSE,4.4,,Italian restaurant,TRUE,
Clinton St. Baking Company,-73.9838497,40.721264,FALSE,4.4,,American restaurant,TRUE,
ABA Turkish Restaurant,-73.9839497,40.7674443,FALSE,4.4,,Turkish restaurant,TRUE,TRUE
TGI Fridays,-73.9839612,40.7583559,FALSE,3.1,,Restaurant,TRUE,
Margon,-73.9839619,40.7579064,FALSE,4.6,,Cuban restaurant,TRUE,
Junior's Restaurant and Bakery,-73.984011,40.7610605,TRUE,4.4,,American restaurant,TRUE,
Colbeh,-73.9840251,40.7520636,FALSE,3.8,,Mediterranean restaurant,TRUE,
Wafels & Dinges,-73.9840658,40.7545415,FALSE,4.3,,Dessert shop,TRUE,
Havana Central Times Square,-73.9841591,40.7583364,FALSE,4.4,,Cuban restaurant,TRUE,
Playwright,-73.9841667,40.7605556,FALSE,4.1,,Irish pub,TRUE,
Smile To Go,-73.9842087,40.7400292,FALSE,3.9,,Cafe,TRUE,TRUE
The Long Room,-73.9843398,40.7564107,TRUE,4.3,,Pub,TRUE,
Momofuku Noodle Bar,-73.984415,40.7292083,FALSE,4.5,,American restaurant,TRUE,
Dons Bogam & Wine Bar (Original),-73.9844803,40.7468094,FALSE,4.4,,Korean barbecue restaurant,TRUE,
Spyglass Rooftop Bar,-73.9847231,40.7520646,TRUE,4.2,,Bar,TRUE,
Olive Garden Italian Restaurant,-73.9847419,40.7595183,FALSE,4.2,,Italian restaurant,TRUE,
LeGrande Lounge,-73.9847424,40.7607185,TRUE,4.1,,Cocktail bar,TRUE,
Take 31,-73.9848246,40.7462777,FALSE,4.5,,Korean restaurant,TRUE,
Upland,-73.984885,40.741693,FALSE,4.5,,Californian restaurant,TRUE,
Pick A Bagel,-73.9849259,40.7644594,FALSE,4.2,,Bagel shop,TRUE,
Bonchon 32nd st,-73.98498,40.74753,FALSE,4.2,,Asian fusion restaurant,TRUE,
Speedy Romeo,-73.9850567,40.7194737,FALSE,4.4,,Pizza restaurant,TRUE,
