title,longitude,latitude,temporarilyClosed,totalScore,reviewsCount,categoryName,Dine_in,Outdoor_Seating
Nerai,-73.9730857,40.7602436,FALSE,4.6,,Greek restaurant,TRUE,TRUE
Davio's Northern Italian Steakhouse,-73.9746387,40.7530076,TRUE,4.4,,Steak house,TRUE,TRUE
Sarabeth's,-73.9757026,40.7651362,FALSE,4.1,,American restaurant,TRUE,TRUE
Il Gattopardo,-73.9763707,40.761674,FALSE,4.5,,Southern Italian restaurant,TRUE,TRUE
Quality Bistro,-73.979167,40.7632028,FALSE,4.6,,Restaurant,TRUE,TRUE
PHD Terrace at Dream Midtown,-73.9819377,40.764429,FALSE,4,,Lounge,TRUE,TRUE
Serafina Broadway,-73.9819469,40.7644023,FALSE,4.1,,Italian restaurant,TRUE,TRUE
STK Steakhouse Midtown NYC,-73.9828494,40.7546664,FALSE,4.2,,Steak house,TRUE,TRUE
Bryant Park Grill,-73.982957,40.7531999,FALSE,4.3,,American restaurant,TRUE,TRUE
Empire Steak House,-73.9831208,40.7644256,FALSE,4.2,,Steak house,TRUE,TRUE
ABA Turkish Restaurant,-73.9839497,40.7674443,FALSE,4.4,,Turkish restaurant,TRUE,TRUE
Smile To Go,-73.9842087,40.7400292,FALSE,3.9,,Cafe,TRUE,TRUE
Ernesto's,-73.9854371,40.7142731,FALSE,4.5,,Basque restaurant,TRUE,TRUE
Scarpetta,-73.9856202,40.7445818,FALSE,4.4,,Italian restaurant,TRUE,TRUE
Cloud Social Rooftop Bar,-73.9863253,40.747317,FALSE,4.1,,Bar,TRUE,TRUE
Junior's Restaurant & Bakery,-73.9865621,40.7582077,TRUE,4.4,,American restaurant,TRUE,TRUE
Friend Of A Farmer,-73.9868623,40.7368776,FALSE,4.3,,American restaurant,TRUE,TRUE
Veselka,-73.9871139,40.7290155,FALSE,4.5,,Ukrainian restaurant,TRUE,TRUE
230 Fifth Rooftop Bar,-73.9880767,40.744002,FALSE,4.3,,Bar,TRUE,TRUE
Mr. Purple,-73.988103,40.721741,FALSE,4.2,,Bar,TRUE,TRUE
Dig,-73.9883569,40.7452688,TRUE,4.4,,American restaurant,TRUE,TRUE
Local 92,-73.9886351,40.7269981,FALSE,4.4,,Mediterranean restaurant,TRUE,TRUE
Frank,-73.9886954,40.7268777,FALSE,4.4,,Restaurant,TRUE,TRUE
La Pizza Fresca Ristorante,-73.988895,40.739047,TRUE,3.9,,Italian restaurant,TRUE,TRUE
Nomad,-73.98892,40.72633,FALSE,4.4,,Moroccan restaurant,TRUE,TRUE
Obic¨¤ Mozzarella Bar - Flatiron,-73.9891684,40.7400029,FALSE,4.2,,Italian restaurant,TRUE,TRUE
Sauce,-73.9893263,40.7204716,FALSE,4.4,,Restaurant,TRUE,TRUE
The DL,-73.989333,40.718558,FALSE,3.9,,New American restaurant,TRUE,TRUE
DIA,-73.9895251,40.7257148,FALSE,4.5,,Italian restaurant,TRUE,TRUE
Schnipper's,-73.9898495,40.7559892,FALSE,4.2,,Hamburger restaurant,TRUE,TRUE
L'Amico,-73.9899532,40.7471585,FALSE,4.2,,Italian restaurant,TRUE,TRUE
UT47 Manhattan,-73.9899748,40.7613127,FALSE,4.5,,Breakfast restaurant,TRUE,TRUE
Boqueria,-73.9900314,40.7554321,FALSE,4.3,,Tapas restaurant,TRUE,TRUE
Castell Rooftop Lounge,-73.9900952,40.7554006,FALSE,4.4,,Bar,TRUE,TRUE
Bowery Road,-73.9901732,40.7333186,FALSE,4.4,,American restaurant,TRUE,TRUE
Zoralie,-73.9902028,40.7650349,FALSE,4.5,,Dominican restaurant,TRUE,TRUE
Tarallucci e Vino,-73.990605,40.738201,FALSE,4.3,,Italian restaurant,TRUE,TRUE
Totto Ramen Hell's Kitchen,-73.9909951,40.7650077,FALSE,4.4,,Ramen restaurant,TRUE,TRUE
VERSA,-73.9910187,40.7517804,FALSE,4.1,,Bar,TRUE,TRUE
Il Melograno,-73.9914706,40.7655066,FALSE,4.6,,Sicilian restaurant,TRUE,TRUE
Gemma,-73.9916613,40.7261666,FALSE,4.3,,Italian restaurant,TRUE,TRUE
Dalton's Bar & Grill,-73.992141,40.759393,FALSE,4.3,,Bar & grill,TRUE,TRUE
Bonnie Vee,-73.9921615,40.7224017,FALSE,4.1,,Cocktail bar,TRUE,TRUE
Vapiano NYC,-73.9921729,40.7343598,FALSE,4.3,,Italian restaurant,TRUE,TRUE
Wayla,-73.9926038,40.7182852,FALSE,4.6,,Thai restaurant,TRUE,TRUE
Loreley Beer Garden,-73.9928725,40.7212299,FALSE,4.2,,Beer garden,TRUE,TRUE
Floret,-73.9929163,40.7219041,TRUE,4.3,,Mediterranean restaurant,TRUE,TRUE
Quartino Bottega Organica,-73.99292,40.725535,FALSE,4.1,,Italian restaurant,TRUE,TRUE
Jue Lan Club,-73.9934031,40.7409694,FALSE,3.9,,Restaurant,TRUE,TRUE
Lafayette Grand Caf¨¦ & Bakery,-73.9937017,40.7275934,FALSE,4.3,,French restaurant,TRUE,TRUE
Maki Kosaka,-73.9938224,40.7402921,FALSE,4.9,,Sushi restaurant,TRUE,TRUE
44 & X Hell's Kitchen,-73.9942245,40.7610011,FALSE,4.4,,New American restaurant,TRUE,TRUE
Claudette,-73.9959946,40.7330613,FALSE,4.4,,French restaurant,TRUE,TRUE
Portale,-73.9962661,40.7402203,FALSE,4.7,,Italian restaurant,TRUE,TRUE
